trade_date,account,symbol,type,quantity,price,fee
2025-10-03,DEMO_GROWTH,AAPL,BUY,40,185.2500,1.00
2025-10-03,DEMO_GROWTH,MSFT,BUY,22,430.1000,1.00
2025-10-03,DEMO_GROWTH,NVDA,BUY,35,120.7500,1.00
2025-11-07,DEMO_GROWTH,SPY,BUY,18,589.3200,1.00
2025-11-07,DEMO_GROWTH,VTI,BUY,30,283.1100,1.00
2025-12-12,DEMO_GROWTH,AAPL,BUY,10,192.4000,1.00
2025-12-12,DEMO_GROWTH,NVDA,SELL,8,132.0500,1.00
2026-01-17,DEMO_GROWTH,MSFT,BUY,6,444.8800,1.00
2026-01-17,DEMO_GROWTH,SPY,BUY,4,603.4700,1.00
2026-02-11,DEMO_GROWTH,VTI,BUY,6,296.2000,1.00
2025-10-10,DEMO_INCOME,JNJ,BUY,38,162.9300,1.00
2025-10-10,DEMO_INCOME,KO,BUY,80,63.4400,1.00
2025-10-10,DEMO_INCOME,PG,BUY,26,171.5500,1.00
2025-11-21,DEMO_INCOME,XLU,BUY,60,74.3200,1.00
2025-11-21,DEMO_INCOME,SCHD,BUY,42,83.9000,1.00
2025-12-19,DEMO_INCOME,KO,BUY,20,64.1500,1.00
2025-12-19,DEMO_INCOME,JNJ,SELL,6,165.0200,1.00
2026-01-24,DEMO_INCOME,PG,BUY,8,174.3000,1.00
2026-01-24,DEMO_INCOME,SCHD,BUY,10,85.1000,1.00
2026-02-12,DEMO_INCOME,XLU,BUY,12,76.0400,1.00
