trade_date,account,symbol,type,quantity,price,fee
2025-11-26,ROTH,AMD,BUY,102,211.8871,4.95
2025-11-26,ROTH,ASML,BUY,48,1050.53,4.95
2025-11-26,ROTH,CDNS,BUY,98,307.18,4.95
2025-11-26,ROTH,ISRG,BUY,33,576.98,4.95
2025-11-26,ROTH,LSCC,BUY,176,70.3059,4.95
2025-11-26,ROTH,SNPS,BUY,87,409.2495,4.95
2025-11-26,ROTH,TSM,BUY,148,290.7208,4.95
2026-01-30,IRA,ASML,BUY,4,1447.3288,4.95
2026-01-30,IRA,AMD,BUY,12,244.50,4.95
2026-01-30,IRA,AMAT,BUY,6,327.3073,4.95
2026-01-30,IRA,KLA,BUY,11,1546.50,3.88
2026-01-30,IRA,KLA,BUY,3,1451.1839,1.07
2026-01-30,IRA,MU,BUY,33,424.473,4.95
2026-01-30,IRA,SNPS,BUY,10,472.5072,4.95
2026-01-30,IRA,TSM,BUY,24,337.835,4.95
2026-02-11,IRA,ASML,BUY,2,1433.675,4.95
2026-02-11,IRA,AMAT,BUY,3,337.8307,4.95
2026-02-11,IRA,MU,SELL,17,402.121294,4.95
2026-02-11,IRA,SNPS,BUY,2,428.15,4.95
2026-02-11,IRA,TSM,BUY,3,375.9047,4.95
